iter	RMSE
0	1796.617738
1	1709.862091
2	1629.983641
3	1554.684899
4	1479.854831
5	1412.641313
6	1347.30113
7	1287.092962
8	1225.819354
9	1168.303201
10	1114.297654
11	1062.020029
12	1015.203796
13	967.8173328
14	924.5600285
15	881.9017868
16	843.5768705
17	806.9448873
18	771.264478
19	737.5911088
20	704.3787393
21	675.3342114
22	645.6008956
23	618.3019109
24	592.0896424
25	567.820588
26	543.7963102
27	521.8135067
28	500.9177448
29	481.1766919
30	462.2098778
31	443.8227059
32	427.2800861
33	411.7963223
34	396.7377645
35	382.5411212
36	369.701767
37	357.523058
38	346.3238994
39	335.5427114
40	325.4145723
41	315.6432918
42	306.2765955
43	298.083087
44	290.3534759
45	282.8913986
46	276.1997337
47	269.8511832
48	263.6295843
49	258.0886166
50	253.0067365
51	248.3121584
52	243.779717
53	239.1689787
54	235.3675302
55	232.1347146
56	228.7862125
57	226.0609822
58	223.5375327
59	220.9412479
60	218.5530139
61	215.9543794
62	214.1753429
63	211.9959546
64	210.0447966
65	208.4883578
66	206.8839363
67	205.5115288
68	204.0895029
69	202.9874912
70	201.7408194
71	200.9625243
72	199.9093435
73	198.9530905
74	198.3368287
75	197.6184772
76	196.8482911
77	196.0791132
78	195.5357308
79	194.5612028
80	194.0837945
81	193.7832648
82	193.1581484
83	192.7547545
84	192.320927
85	191.9187411
86	191.6872677
87	191.3159201
88	191.0031382
89	190.8127785
90	190.6031474
91	190.3758456
92	190.2234269
93	189.9484719
94	189.8507368
95	189.5760401
96	189.299091
97	189.1933393
98	189.0951255
99	188.8792758
100	188.4237586
101	188.1227643
102	188.0153765
103	187.8030455
104	187.5685646
105	187.2361764
106	187.1552446
107	187.0256557
108	186.6917376
109	186.6284302
110	186.578598
111	186.4163786
112	186.3180644
113	186.2958059
114	186.2636251
115	186.2393026
116	185.6520833
117	185.6434113
118	185.5993049
119	185.5696677
120	185.2125081
121	185.2069598
122	185.2016608
123	185.1827507
124	185.1617378
125	185.1535252
126	185.1484494
127	185.0538055
128	185.0388428
129	185.0356102
130	185.0324847
131	185.0295126
132	185.0273524
133	185.025994
134	185.0177428
135	185.0150819
136	185.0130624
137	185.0112247
138	185.0090693
139	185.0082994
140	185.0050443
141	185.0025965
142	185.001284
143	184.991934
144	184.9908226
145	184.9904039
146	184.98941
147	184.9890673
148	184.9878417
149	184.9870078
150	184.9846626
151	184.9375786
152	184.9373736
153	184.9367299
154	184.9361369
155	184.932664
156	184.9321218
157	184.9316134
158	184.9311299
