iter	Passed	Remaining
0	72	144839
1	81	81349
2	95	63819
3	106	53381
4	118	47178
5	161	53576
6	169	48255
7	191	47691
8	195	43232
9	201	40022
10	205	37138
11	208	34538
12	227	34807
13	233	33159
14	241	31957
15	244	30343
16	253	29578
17	257	28392
18	278	28995
19	282	27958
20	290	27330
21	310	27933
22	318	27392
23	334	27566
24	338	26759
25	344	26181
26	351	25717
27	356	25142
28	377	25657
29	399	26216
30	402	25558
31	410	25257
32	416	24825
33	420	24308
34	425	23908
35	429	23415
36	433	22973
37	440	22760
38	445	22390
39	449	22034
40	455	21741
41	463	21607
42	483	21992
43	487	21668
44	493	21446
45	505	21486
46	519	21573
47	531	21625
48	535	21313
49	541	21119
50	546	20882
51	550	20617
52	558	20499
53	568	20469
54	575	20340
55	583	20270
56	593	20224
57	597	20012
58	604	19890
59	612	19801
60	618	19644
61	633	19810
62	638	19634
63	649	19635
64	658	19610
65	662	19414
66	670	19345
67	674	19159
68	695	19467
69	705	19451
70	721	19593
71	727	19470
72	735	19416
73	741	19294
74	744	19107
75	750	18989
76	759	18963
77	781	19262
78	789	19197
79	810	19448
80	815	19311
81	822	19237
82	843	19471
83	851	19417
84	872	19656
85	881	19607
86	888	19544
87	900	19561
88	908	19496
89	950	20166
90	965	20254
91	985	20440
92	1000	20522
93	1008	20439
94	1019	20438
95	1032	20472
96	1046	20529
97	1056	20496
98	1061	20386
99	1066	20255
100	1087	20440
101	1093	20348
102	1098	20230
103	1102	20092
104	1105	19959
105	1112	19871
106	1115	19739
107	1127	19750
108	1132	19652
109	1136	19528
110	1142	19441
111	1147	19337
112	1154	19279
113	1159	19184
114	1162	19058
115	1165	18933
116	1197	19276
117	1205	19220
118	1209	19119
119	1214	19027
120	1221	18975
121	1225	18863
122	1228	18747
123	1232	18646
124	1235	18536
125	1239	18429
126	1242	18328
127	1248	18255
128	1255	18209
129	1258	18104
130	1261	18003
131	1265	17908
132	1268	17809
133	1276	17769
134	1279	17677
135	1285	17618
136	1289	17533
137	1292	17436
138	1295	17350
139	1299	17260
140	1303	17185
141	1316	17222
142	1321	17158
143	1331	17156
144	1341	17156
145	1352	17177
146	1359	17133
147	1362	17048
148	1367	16992
149	1373	16943
150	1380	16907
151	1387	16872
152	1391	16796
153	1397	16750
154	1401	16685
155	1404	16607
156	1407	16528
157	1410	16449
158	1414	16378
159	1418	16311
160	1421	16240
161	1424	16165
162	1427	16089
163	1431	16030
164	1435	15960
165	1438	15887
166	1442	15829
167	1448	15794
168	1451	15729
169	1454	15660
170	1457	15594
171	1461	15531
172	1465	15471
173	1468	15406
174	1471	15344
175	1476	15297
176	1480	15247
177	1483	15181
178	1486	15125
179	1489	15062
180	1493	15007
181	1496	14944
182	1499	14887
183	1504	14845
184	1507	14786
185	1512	14748
186	1515	14691
187	1518	14635
188	1521	14582
189	1528	14559
190	1531	14507
191	1535	14461
192	1542	14439
193	1549	14424
194	1557	14416
195	1562	14384
196	1565	14332
197	1569	14281
198	1573	14244
199	1578	14205
200	1581	14152
201	1584	14099
202	1587	14051
203	1594	14033
204	1597	13985
205	1600	13937
206	1604	13901
207	1608	13857
208	1612	13815
209	1615	13767
210	1621	13752
211	1630	13752
212	1637	13740
213	1650	13773
214	1661	13793
215	1665	13756
216	1670	13729
217	1673	13683
218	1676	13636
219	1680	13598
220	1685	13568
221	1689	13527
222	1693	13497
223	1698	13465
224	1702	13429
225	1705	13386
226	1709	13355
227	1713	13318
228	1719	13295
229	1722	13256
230	1727	13231
231	1733	13211
232	1737	13179
233	1741	13139
234	1744	13105
235	1751	13092
236	1754	13052
237	1759	13023
238	1764	13000
239	1770	12981
240	1774	12953
241	1777	12914
242	1782	12884
243	1785	12846
244	1789	12820
245	1793	12784
246	1797	12753
247	1800	12720
248	1805	12694
249	1810	12670
250	1815	12651
251	1818	12615
252	1822	12586
253	1826	12554
254	1833	12548
255	1836	12513
256	1840	12485
257	1846	12466
258	1853	12457
259	1856	12422
260	1859	12391
261	1863	12362
262	1867	12332
263	1870	12300
264	1873	12266
265	1877	12241
266	1884	12229
267	1889	12208
268	1893	12184
269	1896	12154
270	1900	12122
271	1903	12093
272	1907	12064
273	1912	12046
274	1916	12019
275	1920	11993
276	1925	11975
277	1928	11946
278	1932	11922
279	1935	11892
280	1941	11877
281	1947	11864
282	1952	11846
283	1957	11826
284	1960	11798
285	1963	11767
286	1967	11740
287	1975	11743
288	1984	11747
289	1992	11746
290	1999	11740
291	2007	11741
292	2014	11733
293	2027	11766
294	2034	11761
295	2042	11756
296	2049	11750
297	2054	11732
298	2059	11715
299	2062	11688
300	2068	11677
301	2071	11647
302	2077	11635
303	2096	11696
304	2117	11769
305	2145	11877
306	2174	11990
307	2195	12062
308	2199	12038
309	2221	12109
310	2240	12169
311	2245	12146
312	2249	12124
313	2257	12119
314	2260	12092
315	2268	12087
316	2271	12060
317	2275	12038
318	2279	12014
319	2284	11991
320	2307	12067
321	2311	12045
322	2315	12023
323	2319	11998
324	2340	12062
325	2344	12037
326	2347	12011
327	2351	11984
328	2368	12031
329	2372	12005
330	2375	11976
331	2379	11955
332	2383	11933
333	2386	11906
334	2390	11879
335	2394	11860
336	2397	11831
337	2406	11834
338	2417	11847
339	2426	11846
340	2432	11833
341	2439	11828
342	2449	11831
343	2458	11833
344	2464	11824
345	2471	11814
346	2476	11796
347	2482	11783
348	2486	11761
349	2492	11748
350	2496	11730
351	2503	11718
352	2525	11784
353	2530	11768
354	2535	11751
355	2560	11824
356	2565	11807
357	2573	11803
358	2578	11786
359	2583	11769
360	2590	11761
361	2596	11748
362	2603	11742
363	2608	11724
364	2613	11706
365	2620	11698
366	2626	11684
367	2630	11665
368	2636	11651
369	2639	11628
370	2646	11619
371	2654	11615
372	2677	11680
373	2684	11669
374	2707	11732
375	2719	11744
376	2725	11734
377	2729	11714
378	2751	11767
379	2762	11775
380	2770	11774
381	2779	11773
382	2788	11773
383	2805	11807
384	2810	11787
385	2816	11774
386	2821	11760
387	2841	11805
388	2872	11894
389	2876	11874
390	2897	11922
391	2901	11902
392	2906	11884
393	2923	11917
394	2941	11950
395	2952	11957
396	2962	11959
397	2972	11964
398	2981	11965
399	3003	12014
400	3012	12011
401	3017	11994
402	3022	11978
403	3048	12042
404	3058	12043
405	3085	12115
406	3106	12160
407	3130	12214
408	3137	12205
409	3145	12200
410	3149	12177
411	3156	12166
412	3160	12144
413	3164	12123
414	3169	12105
415	3175	12089
416	3179	12071
417	3200	12111
418	3204	12091
419	3209	12073
420	3214	12058
421	3223	12053
422	3227	12032
423	3231	12011
424	3238	12000
425	3245	11990
426	3254	11988
427	3283	12061
428	3294	12064
429	3320	12124
430	3325	12106
431	3330	12086
432	3337	12077
433	3345	12071
434	3351	12056
435	3355	12037
436	3359	12017
437	3367	12008
438	3371	11989
439	3376	11972
440	3386	11970
441	3397	11976
442	3405	11970
443	3411	11954
444	3418	11943
445	3422	11923
446	3425	11899
447	3430	11885
448	3434	11863
449	3437	11841
450	3444	11829
451	3450	11816
452	3457	11806
453	3462	11789
454	3465	11766
455	3468	11744
456	3472	11722
457	3489	11749
458	3496	11738
459	3500	11719
460	3516	11741
461	3525	11736
462	3532	11727
463	3562	11791
464	3569	11782
465	3576	11774
466	3609	11847
467	3615	11836
468	3624	11831
469	3630	11819
470	3639	11815
471	3647	11807
472	3673	11858
473	3681	11850
474	3688	11841
475	3697	11837
476	3705	11831
477	3732	11884
478	3740	11876
479	3750	11876
480	3758	11868
481	3764	11854
482	3771	11846
483	3778	11836
484	3793	11850
485	3800	11839
486	3808	11833
487	3816	11825
488	3823	11814
489	3833	11813
490	3886	11944
491	3896	11941
492	3936	12031
493	3961	12078
494	3973	12082
495	3987	12091
496	4000	12099
497	4014	12107
498	4033	12132
499	4043	12131
500	4047	12109
501	4052	12091
502	4055	12069
503	4060	12054
504	4063	12030
505	4066	12007
506	4090	12045
507	4093	12023
508	4096	11999
509	4101	11982
510	4105	11963
511	4109	11944
512	4113	11924
513	4122	11918
514	4129	11908
515	4155	11949
516	4159	11931
517	4163	11910
518	4168	11896
519	4172	11875
520	4176	11856
521	4179	11833
522	4182	11811
523	4187	11794
524	4209	11826
525	4220	11826
526	4226	11813
527	4229	11790
528	4232	11770
529	4235	11748
530	4239	11727
531	4242	11707
532	4248	11694
533	4252	11675
534	4267	11685
535	4270	11663
536	4273	11642
537	4277	11623
538	4296	11646
539	4301	11630
540	4306	11614
541	4309	11593
542	4328	11613
543	4333	11597
544	4338	11583
545	4353	11593
546	4356	11572
547	4360	11554
548	4369	11548
549	4372	11527
550	4379	11518
551	4383	11497
552	4387	11479
553	4406	11501
554	4411	11485
555	4415	11466
556	4418	11446
557	4423	11430
558	4442	11452
559	4445	11431
560	4448	11411
561	4452	11391
562	4457	11376
563	4460	11356
564	4463	11337
565	4467	11318
566	4469	11297
567	4474	11281
568	4479	11264
569	4481	11244
570	4485	11224
571	4489	11208
572	4492	11187
573	4495	11167
574	4498	11148
575	4501	11129
576	4505	11110
577	4508	11090
578	4511	11071
579	4514	11051
580	4521	11042
581	4527	11029
582	4532	11016
583	4537	11001
584	4541	10983
585	4549	10977
586	4553	10959
587	4556	10941
588	4576	10962
589	4580	10947
590	4584	10930
591	4588	10912
592	4591	10893
593	4595	10877
594	4600	10862
595	4604	10846
596	4610	10836
597	4631	10857
598	4635	10842
599	4638	10822
600	4642	10807
601	4647	10792
602	4656	10787
603	4668	10789
604	4676	10781
605	4683	10772
606	4686	10755
607	4690	10738
608	4696	10726
609	4699	10707
610	4702	10689
611	4705	10671
612	4711	10660
613	4715	10643
614	4717	10624
615	4721	10607
616	4742	10630
617	4745	10612
618	4748	10594
619	4751	10576
620	4755	10559
621	4758	10543
622	4762	10526
623	4766	10509
624	4769	10493
625	4773	10477
626	4778	10463
627	4780	10445
628	4784	10428
629	4787	10411
630	4797	10408
631	4802	10394
632	4807	10381
633	4811	10367
634	4814	10349
635	4819	10335
636	4822	10318
637	4826	10303
638	4829	10285
639	4853	10313
640	4879	10345
641	4906	10378
642	4915	10374
643	4923	10367
644	4946	10391
645	4951	10379
646	4954	10360
647	4957	10342
648	4959	10323
649	4962	10306
650	4966	10290
651	4968	10272
652	4981	10275
653	4988	10266
654	4996	10259
655	5000	10244
656	5003	10227
657	5006	10210
658	5009	10194
659	5013	10179
660	5018	10166
661	5022	10150
662	5042	10168
663	5045	10152
664	5048	10135
665	5051	10118
666	5054	10101
667	5059	10088
668	5062	10071
669	5064	10053
670	5067	10037
671	5070	10021
672	5075	10008
673	5079	9992
674	5081	9975
675	5085	9959
676	5090	9947
677	5093	9931
678	5096	9914
679	5099	9898
680	5102	9882
681	5105	9865
682	5107	9849
683	5113	9838
684	5116	9822
685	5121	9809
686	5124	9793
687	5128	9779
688	5131	9763
689	5134	9747
690	5137	9731
691	5141	9718
692	5145	9703
693	5150	9693
694	5158	9686
695	5164	9676
696	5173	9671
697	5177	9657
698	5181	9643
699	5186	9632
700	5190	9619
701	5193	9603
702	5201	9596
703	5205	9582
704	5208	9567
705	5216	9561
706	5222	9551
707	5232	9548
708	5235	9533
709	5237	9516
710	5247	9513
711	5251	9499
712	5254	9483
713	5260	9475
714	5263	9459
715	5266	9445
716	5270	9430
717	5273	9415
718	5275	9399
719	5281	9388
720	5283	9373
721	5286	9357
722	5290	9345
